Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 4-weekly from Oct to May (during beach season),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- MSBB run is 2-weekly from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Neighbourhood Loop (fortnightly) runs from Jun to Sep (while beach is eroded),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5291,505,323,424,218,9,136,312,133,67,47,367,67,187,270,62,0,421,17,108,282,0,0,91,137,57,15,0,449,143,25,0,267,152,0,,
"Fri, 30-Oct",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 2-Nov",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 4-Nov",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 6-Nov",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 9-Nov",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 11-Nov",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 13-Nov",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 16-Nov",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 18-Nov",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 20-Nov",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 23-Nov",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 25-Nov",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 27-Nov",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 30-Nov",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 2-Dec",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 4-Dec",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 7-Dec",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 9-Dec",Filament,Social,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 11-Dec",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Sun, 13-Dec",Alex 👑's,Mara - Xmas,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Sun, 13-Dec",Alex 👑's,Half - Xmas,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Sun, 13-Dec",Alex 👑's,10k - Xmas,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 14-Dec",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 16-Dec",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 18-Dec",MSBB,River Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 21-Dec",Drift,Intervals,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 23-Dec",Filament,Lakes Loop,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Fri, 25-Dec",Il Lido,Soft Sand,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mon, 28-Dec",Drift,Cruise,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Wed, 30-Dec",Filament,Intervals,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
